word,value
trz¹s³,2
stanê³a,2
umieraæ,2
wstrzyma³,2
na³êczk¹,2
znacie,2
skojca,2
powrozie,2
nasi,2
krzy¿ackich,2
zapytaæ,2
nasz,2
skromem,2
pustych,2
olkusza,2
rodzic,2
s³uchaæ?,2
jeziorku,2
dostanê,2
królewskich,2
g³owie?,2
nóg,2
g³ówkê,2
oknach,2
opiek¹,2
modre,2
zgodzi,2
³êgach,2
nakry³a,2
niej?,2
bêdem,2
puszcza³,2
niejakim,2
pajêczych,2
widzisz?,2
he³my,2
powierzchniê,2
ja?,2
zamroczy³o,2
jezu,2
szeroko,2
szeroki,2
podziwem,2
przekonaæ,2
alkierzu,2
œwierzop,2
si³ê,2
powiadaj¹,2
i¿e,2
odrzek³?,2
¿ebyœmy,2
suche,2
obecnych,2
wypadku,2
dworzanin,2
bierz?,2
dostali,2
us³ysza³,2
si³a,2
przyk³adem,2
sprawie,2
zachorza³?,2
wiesz,2
janusza,2
patrzyli,2
wczoraj,2
piêœci¹,2
potykaæ,2
powiadam,2
przy³o¿y³a,2
wziê³a,2
sprawna,2
wziê³y,2
bobra,2
odg³os,2
bobry,2
naby³,2
dziedziñcu,2
franciszkanin,2
musz¹,2
wieki,2
dobrze?,2
boœcie,2
osadê,2
mg³y,2
najwiêkszego,2
wojnach,2
rozleg³,2
uczyni³by,2
myœleæ,2
szerokie,2
obaczycie,2
idzie,2
jakoœ,2
konwi,2
zupe³na,2
wydawa³y,2
bra³?na,2
ogromnej,2
traci³,2
pomocy,2
konn¹,2
rozmawia³,2
gotowi,2
zaledwie,2
le¿a³,2
kupca,2
robi¹?,2
konno,2
k¹dzieli,2
wódz,2
traciæ,2
mazur,2
naci¹gn¹³,2
tako,2
dodatku,2
nadstawi³,2
sprzeda³,2
szopy,2
dziedziniec,2
brzuchem,2
jakim,2
jakaœ,2
odpowiedŸ,2
zgody,2
ogarn¹³,2
zych?opat,2
uczyni³o,2
skwapliwie,2
przednie,2
litwie,2
rzekê,2
groty,2
grotu,2
wrocimowic,2
nabrali,2
powinien,2
wieœci,2
owszem,2
czekaj¹c,2
œmiechem,2
babski,2
doszed³szy,2
wsta³,2
psy,2
kszta³t,2
ryba³tów,2
kupiæ,2
danuœkê,2
tyñcu,2
czterech,2
najbardziej,2
was?,2
odg³osy,2
ksiê¿n¹,2
pieœni,2
wilkowi,2
ciemnoœci,2
obie,2
melsztyna,2
bogdañca?,2
grobu,2
kubrak,2
dba³,2
niejedno,2
krzyw¹,2
groch,2
bezpiecznie,2
grody,2
oszczep,2
mrugaæ,2
nadto,2
obaczcie,2
nast¹piæ,2
obszernych,2
ostawiæ,2
lichtenstein,2
zatykaæ?,2
dotrzyma,2
szczebrzuch,2
zjedzie,2
przys³a³,2
dwadzieœcia,2
zdziwi³a,2
ruskich,2
nieznacznie,2
sk³ady,2
w³asnego,2
ramiê,2
pewnikiem,2
niewolê,2
ka¿dego,2
naraz,2
kolan,2
niechbym,2
lepsze,2
³askaw,2
ponoæ,2
brak?,2
chwila,2
korzyœæ,2
wynieœli,2
szmat,2
po¿egnanie,2
opowiadania,2
œmiechu,2
zabitym,2
bia³ego,2
spokoju,2
chorobie,2
zbroje,2
niedziele,2
napiæ?,2
wiecie?,2
kolanach,2
uszy,2
one,2
rozleg³o,2
jagienki?,2
poznali,2
plecy,2
przytomnoœæ,2
wypytywaæ,2
morowe,2
wojowa³,2
dziedzic,2
sercem,2
rozmowy,2
król,2
spychów,2
b¹dŸ,2
wito³dem,2
oraz,2
bywajcie,2
wy?,2
koœci,2
mo¿ebyœ,2
umilk³,2
wilk?,2
rycerzami,2
jednem,2
groŸnie,2
osadzonych,2
¿onê,2
daruje,2
œmiaæ,2
plecach,2
si¹dê,2
kolei,2
uniesieniu,2
posz³a,2
ci¹³,2
g³êboki,2
zawarcza³a,2
posz³o,2
g³êboka,2
czegó¿,2
herbu,2
rzuci³a,2
roboty,2
siedli,2
ognia,2
wierzb,2
odzie¿,2
wydawa³,2
bogiem,2
turków,2
uœmiechem,2
wzi¹³?,2
codziennie,2
ciê¿ko,2
strzemion,2
niŸli,2
godny,2
chcia³am,2
g³ow¹?,2
przycisn¹³,2
tawani,2
obj¹³,2
dycha,2
zbyszkowej,2
pomagaj,2
prosi³,2
chêtnie,2
prosiæ,2
krewniaka,2
duszy?,2
twoje,2
m¹dry,2
nocleg,2
niebawem,2
najcnotliwsza,2
ksi¹¿êta,2
kupê,2
przekrêcaæ,2
jurandównie,2
po³udniu,2
wtedy,2
dziwne,2
chwycili,2
wiedzia³em,2
starunku,2
wiernie,2
zawróci³,2
kup¹,2
spychowskie,2
jak¹,2
mówicie,2
kupa,2
udar³,2
byœcie,2
rzec,2
bóbr,2
có¿eœ,2
gadaj?,2
tob¹,2
przyjecha³a,2
wyje¿d¿a³,2
powiedziawszy,2
g³osem,2
twojej,2
umilk³a,2
przyj¹³,2
widzi,2
postanowi³,2
mnóstwo,2
trzymaj,2
³apami,2
starunek,2
mê¿ów,2
dawniej,2
prze¿egna³,2
gêbie,2
boj¹c,2
œwie¿o,2
ruszywszy,2
amyleja,2
gotowaæ,2
radzikowego,2
siodle,2
trzeciej,2
zd¹¿y³,2
sypia³,2
kud³y,2
wybiera³,2
porêczy,2
œciskaj¹c,2
przyjeŸdzie,2
bitki?,2
moi,2
skoñczy³,2
tegom,2
zajecha³,2
ojcem,2
dosta³,2
wypadnie,2
ogóle,2
dobrym,2
zwyk³ego,2
mis,2
zawziêtoœæ,2
garœæ,2
nijakiej,2
schyli³,2
przybranych,2
beczki,2
przyczyny,2
inn¹,2
rycerska,2
³awie,2
powiedzia³a,2
maæ,2
czêœci¹,2
prawej,2
ktoœ,2
ryku,2
dopomó¿,2
czyni,2
drugie,2
mazowieckim,2
g³owami,2
uradzaj¹,2
ojcze,2
sw¹d,2
poniós³,2
zorza,2
misa,2
warkocz,2
poczyna³,2
walkach,2
parê,2
nakoniec,2
spostrzeg³,2
wszystkiego,2
bobrowym,2
uczyniê,2
bili,2
pasy,2
upar³,2
mimo,2
precz,2
pomagali,2
jakowaœ,2
œwiêt¹,2
pamiêæ,2
kiedyœ,2
przedsionku,2
pierwsze,2
prasn¹æ,2
chodzi,2
ga³¹Ÿ,2
rzêdem,2
rycerza,2
da?,2
rycerskich,2
swój,2
zbyszko?lecz,2
zapalczywie,2
bezduch,2
lis,2
tamci,2
wszêdzie,2
porz¹dek?,2
bagna,2
zakonie,2
umrzeæ,2
ogarnê³o,2
mazury,2
och³on¹³,2
rycerza?,2
frasunek,2
las,2
nosili,2
boskiej,2
rozmaitych,2
znowu?,2
wypad³,2
dzwonnicy,2
grabowa,2
walka,2
razie,2
czyni¹c,2
grochowin,2
chêci¹,2
tamta,2
patrzcie,2
siedz¹c,2
zaros³ych,2
zbli¿ywszy,2
jagienkowe,2
mog¹c,2
ba³a,2
osta³o?,2
che³miñskich,2
znik³a,2
duchowni,2
podj¹æ,2
napady,2
zobaczy³,2
mocniej,2
pójd¹,2
pobije,2
wytê¿y³,2
niebie,2
wyzwa³,2
zna³,2
znaæ,2
sk³ada³,2
odpowiedzia³?,2
uczu³,2
ciêciwa,2
znak,2
szepn¹³,2
znosi³,2
wci¹¿,2
krwi,2
nietylko,2
onby,2
œmiaæ?,2
dziêkujê,2
bobrowe,2
bogdaj,2
szli,2
¿ebra,2
napad³,2
doszli,2
barcie?,2
przybrany,2
granic¹,2
podobno,2
orszaku,2
jagienka?opat,2
wróci,2
wieczór,2
przec³aw,2
³ozinê,2
wierzch,2
podobn¹,2
têsknota,2
wziêliœmy,2
matka,2
zapowiedzi,2
dziewi¹t¹,2
gorszy,2
czegoœ,2
¿a³oœci¹,2
ludzkie,2
œcisn¹³,2
worek,2
pancerze,2
dniach,2
ducha,2
tkwi,2
zgorzelice,2
³awê,2
pójdzie,2
œpiewanie,2
okropnie,2
cudowaæ,2
wpó³,2
g³ównie,2
opowiadañ,2
zdawna,2
sukna,2
opowiadaæ,2
œwiêcon¹,2
iœæ?i,2
czyby,2
ustrzeli³,2
szukaj,2
sta³o,2
wronym,2
szukam,2
wypytywaæ?,2
du¿y,2
chorego,2
zdobyczn¹,2
toœcie,2
dzikim,2
radbym,2
wzrok,2
omal,2
naszym,2
m³odych,2
bywa³o,2
siedz¹cej,2
ziemiê?,2
zwrotkê,2
wrócê,2
ocaleniu,2
jam,2
choremu,2
jaj,2
dodawa³a,2
uczynili,2
obmyœli,2
mê¿a,2
rêkojeœæ,2
w³asnej,2
izb,2
zawiszê,2
gêstwiny,2
chcieli?,2
przestawa³,2
stó³,2
duszê,2
brak³o,2
ju¿?i,2
kraje,2
stadko,2
równie,2
zdawa³,2
œwieæ,2
naszej,2
œwieci,2
hukn¹³,2
polu,2
niedowierzanie,2
wesele,2
stóp,2
kubkiem,2
przyklêkn¹³,2
jurand?,2
wkrótce,2
jasn¹,2
piesz¹,2
ofiarowa³,2
id¹,2
skórê,2
ciemny,2
ciemno,2
pniach,2
stawa³a,2
œpiewa³,2
doje¿d¿a³,2
abym,2
wpad³,2
przel¹k³,2
napadn¹,2
wybierali,2
zapa³em,2
weso³a,2
weso³e,2
statków,2
odzywa³y,2
wbi³,2
bo¿ej,2
bród,2
rozmawiali,2
zostawi³,2
s³uchajcie,2
dalece,2
stanêli,2
¿adna,2
widzielim,2
czujê,2
czerwonego,2
odstajanego,2
gadaæ,2
maækiem,2
sto³y,2
weso³oœæ,2
blask,2
zapomni,2
straszny,2
hop,2
za³o¿y³,2
straszne,2
prawa,2
koñmi,2
niezmiernie,2
stawiaæ,2
przywykli,2
grotów,2
szczêœliwem,2
³osie,2
pnie,2
reszty,2
dopatrzy,2
kasztelañskie,2
chwa³a,2
szl¹skich,2
wzruszeniem,2
