word,value
destroy,5
lifting,5
stench,5
reported,5
watchful,5
harness,5
‘even,5
umbar,5
disturbed,5
slaying,5
laugh,5
suffered,5
s,5
daring,5
wreck,5
coomb,4
flew,4
chanced,4
mouthful,4
ranks,4
ugly,4
hopeful,4
realms,4
robe,4
digging,4
roar,4
sheathed,4
idea,4
sorrowful,4
midsummer,4
hastened,4
written,4
wishes,4
sir’,4
makes,4
overcome,4
tarry,4
stammered,4
wheel,4
pyre,4
spy,4
panting,4
anger,4
cursed,4
strove,4
striking,4
sir,4
forgive,4
wavering,4
useless,4
delay,4
angry,4
boys,4
vanguard,4
maimed,4
tumult,4
cave,4
kneeling,4
northwards,4
morn,4
heels,4
damage,4
father’s,4
whitfoot,4
grace,4
mound,4
spirits,4
lightning,4
‘one,4
rejoicing,4
beleaguered,4
ale,4
spur,4
meriadoc’,4
spot,4
jest,4
prevent,4
gifts,4
bagshot,4
breathed,4
stybba,4
gaped,4
sails,4
far’,4
rumble,4
sped,4
wherever,4
birds,4
pride,4
welcomed,4
yelled,4
shrivelled,4
rough,4
jewel,4
funeral,4
fence,4
breeze,4
ringwraith,4
health,4
streaming,4
summer,4
greenway,4
fangorn,4
hole,4
creep,4
dotard,4
‘shall,4
arched,4
rouse,4
stinking,4
september,4
thrusting,4
sleepless,4
whither,4
gateway,4
mithrandir’,4
smite,4
manned,4
doesn’t,4
latest,4
pippin’,4
mirth,4
bought,4
draught,4
child,4
lips,4
yellow,4
achieve,4
flight,4
go’,4
affairs,4
note,4
dash,4
lurked,4
ominous,4
pure,4
deceive,4
device,4
starting,4
pretty,4
brick,4
shuffled,4
pools,4
complete,4
gondor’,4
mundburg,4
you’d,4
issue,4
bitterness,4
let’s,4
glittered,4
image,4
armour,4
claws,4
approached,4
while’,4
rocky,4
visible,4
board,4
levels,4
certain,4
lofty,4
mordor’,4
endured,4
we’,4
hadn’t,4
feel’,4
battles,4
faintly,4
nob,4
designs,4
flank,4
girt,4
swung,4
stayed,4
poison,4
ruffians’,4
decided,4
catching,4
crossing,4
brethren,4
belfalas,4
aloft,4
sweat,4
southron,4
sailing,4
thorns,4
growled,4
aboard,4
cotton’s,4
that’ll,4
ages,4
counselled,4
strayed,4
believed,4
isildur’s,4
proper,4
forced,4
toppled,4
crumbled,4
shared,4
wonderful,4
received,4
stick,4
princes,4
leisure,4
shrouded,4
goodbye,4
shire’,4
blacker,4
he’d,4
travels,4
do’,4
bite,4
added,4
athelas,4
tides,4
washed,4
dwarves,4
fellow,4
piled,4
unable,4
claw,4
wanderer,4
thirty,4
windowslit,4
lieutenant,4
shouldn’t,4
lingered,4
ann?n,4
hated,4
welled,4
aghast,4
thain,4
fifth,4
rebuild,4
minds,4
size,4
meanwhile,4
played,4
week,4
‘gandalf,4
deepening,4
sits,4
lean,4
following,4
lanterns,4
lightly,4
ones,4
baldor,4
kin,4
quest,4
hilt,4
unfought,4
afield,4
aren’t,4
surprised,4
key,4
delving,4
scrambled,4
accept,4
strengthen,4
cunning,4
howling,4
roots,4
sailed,4
married,4
powers,4
report,4
gripped,4
judgement,4
maiden,4
vaguely,4
parts,4
deepened,4
rooms,4
pillars,4
leaping,4
offered,4
brego,4
flickering,4
afternoon,4
said’,4
marvelled,4
gems,4
anyway’,4
shirriffhouse,4
cracked,4
plodded,4
leaving,4
longed,4
can’,4
‘who,4
rings,4
crouching,4
fifteen,4
yield,4
fairer,4
shorter,4
clambered,4
stronghold,4
courtyard,4
paladin,4
creeping,4
nibs,4
remnant,4
breakfast,4
dressed,4
arise,4
foreboding,4
sturdy,4
commands,4
glimmer,4
adventures,4
mere,4
mess,4
arrested,4
floated,4
‘yes,4
confusion,4
reckoning,4
blast,4
dragged,4
“the,4
begs,4
outwall,4
asunder,4
shuddering,4
camps,4
gamgee’,4
warily,4
preserved,4
contrived,4
ghosts,4
uneasily,4
‘have,4
lamp,4
foremost,4
drúadan,4
policies,4
thengel’s,4
swan,4
elanor,4
wain,4
